ds,y,region,category
2024-09-01,215.9,Germany_DE,Retail_Electronics
2024-09-02,491.82,Germany_DE,Retail_Electronics
2024-09-03,531.68,Germany_DE,Retail_Electronics
2024-09-04,575.57,Germany_DE,Retail_Electronics
2024-09-05,501.0,Germany_DE,Retail_Electronics
2024-09-06,685.51,Germany_DE,Retail_Electronics
2024-09-07,841.62,Germany_DE,Retail_Electronics
2024-09-08,259.61,Germany_DE,Retail_Electronics
2024-09-09,508.47,Germany_DE,Retail_Electronics
2024-09-10,558.55,Germany_DE,Retail_Electronics
2024-09-11,517.83,Germany_DE,Retail_Electronics
2024-09-12,522.27,Germany_DE,Retail_Electronics
2024-09-13,738.68,Germany_DE,Retail_Electronics
2024-09-14,716.27,Germany_DE,Retail_Electronics
2024-09-15,179.33,Germany_DE,Retail_Electronics
2024-09-16,536.25,Germany_DE,Retail_Electronics
2024-09-17,520.59,Germany_DE,Retail_Electronics
2024-09-18,584.93,Germany_DE,Retail_Electronics
2024-09-19,534.57,Germany_DE,Retail_Electronics
2024-09-20,696.53,Germany_DE,Retail_Electronics
2024-09-21,900.71,Germany_DE,Retail_Electronics
2024-09-22,279.29,Germany_DE,Retail_Electronics
2024-09-23,597.19,Germany_DE,Retail_Electronics
2024-09-24,534.76,Germany_DE,Retail_Electronics
2024-09-25,579.12,Germany_DE,Retail_Electronics
2024-09-26,613.37,Germany_DE,Retail_Electronics
2024-09-27,741.37,Germany_DE,Retail_Electronics
2024-09-28,884.87,Germany_DE,Retail_Electronics
2024-09-29,295.76,Germany_DE,Retail_Electronics
2024-09-30,614.51,Germany_DE,Retail_Electronics
2024-10-01,605.43,Germany_DE,Retail_Electronics
2024-10-02,720.76,Germany_DE,Retail_Electronics
2024-10-03,641.72,Germany_DE,Retail_Electronics
2024-10-04,779.67,Germany_DE,Retail_Electronics
2024-10-05,939.25,Germany_DE,Retail_Electronics
2024-10-06,302.29,Germany_DE,Retail_Electronics
2024-10-07,671.65,Germany_DE,Retail_Electronics
2024-10-08,579.12,Germany_DE,Retail_Electronics
2024-10-09,612.61,Germany_DE,Retail_Electronics
2024-10-10,686.34,Germany_DE,Retail_Electronics
2024-10-11,895.85,Germany_DE,Retail_Electronics
2024-10-12,945.49,Germany_DE,Retail_Electronics
2024-10-13,387.77,Germany_DE,Retail_Electronics
2024-10-14,684.65,Germany_DE,Retail_Electronics
2024-10-15,636.93,Germany_DE,Retail_Electronics
2024-10-16,676.36,Germany_DE,Retail_Electronics
2024-10-17,693.34,Germany_DE,Retail_Electronics
2024-10-18,946.99,Germany_DE,Retail_Electronics
2024-10-19,990.27,Germany_DE,Retail_Electronics
2024-10-20,350.9,Germany_DE,Retail_Electronics
2024-10-21,750.27,Germany_DE,Retail_Electronics
2024-10-22,723.85,Germany_DE,Retail_Electronics
2024-10-23,716.24,Germany_DE,Retail_Electronics
2024-10-24,779.79,Germany_DE,Retail_Electronics
2024-10-25,984.26,Germany_DE,Retail_Electronics
2024-10-26,1055.41,Germany_DE,Retail_Electronics
2024-10-27,431.41,Germany_DE,Retail_Electronics
2024-10-28,760.97,Germany_DE,Retail_Electronics
2024-10-29,795.54,Germany_DE,Retail_Electronics
2024-10-30,830.32,Germany_DE,Retail_Electronics
2024-10-31,770.68,Germany_DE,Retail_Electronics
2024-11-01,969.75,Germany_DE,Retail_Electronics
2024-11-02,1004.22,Germany_DE,Retail_Electronics
2024-11-03,456.12,Germany_DE,Retail_Electronics
2024-11-04,852.5,Germany_DE,Retail_Electronics
2024-11-05,882.99,Germany_DE,Retail_Electronics
2024-11-06,824.78,Germany_DE,Retail_Electronics
2024-11-07,879.29,Germany_DE,Retail_Electronics
2024-11-08,1036.55,Germany_DE,Retail_Electronics
2024-11-09,1067.43,Germany_DE,Retail_Electronics
2024-11-10,568.96,Germany_DE,Retail_Electronics
2024-11-11,928.18,Germany_DE,Retail_Electronics
2024-11-12,863.67,Germany_DE,Retail_Electronics
2024-11-13,942.05,Germany_DE,Retail_Electronics
2024-11-14,760.15,Germany_DE,Retail_Electronics
2024-11-15,1101.47,Germany_DE,Retail_Electronics
2024-11-16,1144.89,Germany_DE,Retail_Electronics
2024-11-17,584.05,Germany_DE,Retail_Electronics
2024-11-18,908.21,Germany_DE,Retail_Electronics
2024-11-19,821.25,Germany_DE,Retail_Electronics
2024-11-20,907.47,Germany_DE,Retail_Electronics
2024-11-21,940.13,Germany_DE,Retail_Electronics
2024-11-22,1177.31,Germany_DE,Retail_Electronics
2024-11-23,1164.28,Germany_DE,Retail_Electronics
2024-11-24,608.06,Germany_DE,Retail_Electronics
2024-11-25,928.74,Germany_DE,Retail_Electronics
2024-11-26,999.44,Germany_DE,Retail_Electronics
2024-11-27,980.01,Germany_DE,Retail_Electronics
2024-11-28,948.4,Germany_DE,Retail_Electronics
2024-11-29,1182.39,Germany_DE,Retail_Electronics
2024-11-30,1640.77,Germany_DE,Retail_Electronics
2024-12-01,1137.14,Germany_DE,Retail_Electronics
2024-12-02,1369.15,Germany_DE,Retail_Electronics
2024-12-03,1393.23,Germany_DE,Retail_Electronics
2024-12-04,1397.61,Germany_DE,Retail_Electronics
2024-12-05,1356.73,Germany_DE,Retail_Electronics
2024-12-06,1623.28,Germany_DE,Retail_Electronics
2024-12-07,1699.12,Germany_DE,Retail_Electronics
2024-12-08,1145.06,Germany_DE,Retail_Electronics
2024-12-09,1441.77,Germany_DE,Retail_Electronics
