ds,product_name,y,region
2024-09-01,Bosch Series 6 Espresso Machine,19.39,Germany_DE
2024-09-02,Bosch Series 6 Espresso Machine,191.54,Germany_DE
2024-09-03,Bosch Series 6 Espresso Machine,190.36,Germany_DE
2024-09-04,Bosch Series 6 Espresso Machine,207.93,Germany_DE
2024-09-05,Bosch Series 6 Espresso Machine,161.92,Germany_DE
2024-09-06,Bosch Series 6 Espresso Machine,177.49,Germany_DE
2024-09-07,Bosch Series 6 Espresso Machine,240.3,Germany_DE
2024-09-08,Bosch Series 6 Espresso Machine,18.42,Germany_DE
2024-09-09,Bosch Series 6 Espresso Machine,187.11,Germany_DE
2024-09-10,Bosch Series 6 Espresso Machine,160.48,Germany_DE
2024-09-11,Bosch Series 6 Espresso Machine,180.49,Germany_DE
2024-09-12,Bosch Series 6 Espresso Machine,175.56,Germany_DE
2024-09-13,Bosch Series 6 Espresso Machine,179.07,Germany_DE
2024-09-14,Bosch Series 6 Espresso Machine,270.76,Germany_DE
2024-09-15,Bosch Series 6 Espresso Machine,16.6,Germany_DE
2024-09-16,Bosch Series 6 Espresso Machine,176.03,Germany_DE
2024-09-17,Bosch Series 6 Espresso Machine,182.79,Germany_DE
2024-09-18,Bosch Series 6 Espresso Machine,162.97,Germany_DE
2024-09-19,Bosch Series 6 Espresso Machine,181.19,Germany_DE
2024-09-20,Bosch Series 6 Espresso Machine,177.69,Germany_DE
2024-09-21,Bosch Series 6 Espresso Machine,301.92,Germany_DE
2024-09-22,Bosch Series 6 Espresso Machine,25.22,Germany_DE
2024-09-23,Bosch Series 6 Espresso Machine,168.12,Germany_DE
2024-09-24,Bosch Series 6 Espresso Machine,217.01,Germany_DE
2024-09-25,Bosch Series 6 Espresso Machine,138.37,Germany_DE
2024-09-26,Bosch Series 6 Espresso Machine,201.47,Germany_DE
2024-09-27,Bosch Series 6 Espresso Machine,194.86,Germany_DE
2024-09-28,Bosch Series 6 Espresso Machine,258.28,Germany_DE
2024-09-29,Bosch Series 6 Espresso Machine,51.15,Germany_DE
2024-09-30,Bosch Series 6 Espresso Machine,187.48,Germany_DE
2024-10-01,Bosch Series 6 Espresso Machine,172.59,Germany_DE
2024-10-02,Bosch Series 6 Espresso Machine,157.46,Germany_DE
2024-10-03,Bosch Series 6 Espresso Machine,192.3,Germany_DE
2024-10-04,Bosch Series 6 Espresso Machine,167.25,Germany_DE
2024-10-05,Bosch Series 6 Espresso Machine,254.97,Germany_DE
2024-10-06,Bosch Series 6 Espresso Machine,23.88,Germany_DE
2024-10-07,Bosch Series 6 Espresso Machine,173.35,Germany_DE
2024-10-08,Bosch Series 6 Espresso Machine,184.37,Germany_DE
2024-10-09,Bosch Series 6 Espresso Machine,179.99,Germany_DE
2024-10-10,Bosch Series 6 Espresso Machine,208.05,Germany_DE
2024-10-11,Bosch Series 6 Espresso Machine,198.53,Germany_DE
2024-10-12,Bosch Series 6 Espresso Machine,282.48,Germany_DE
2024-10-13,Bosch Series 6 Espresso Machine,16.34,Germany_DE
